"","x"
"1","MCM5"
"2","PCNA"
"3","TYMS"
"4","FEN1"
"5","MCM2"
"6","MCM4"
"7","RRM1"
"8","UNG"
"9","GINS2"
"10","MCM6"
"11","CDCA7"
"12","DTL"
"13","PRIM1"
"14","UHRF1"
"15","MLF1IP"
"16","HELLS"
"17","RFC2"
"18","RPA2"
"19","NASP"
"20","RAD51AP1"
"21","GMNN"
"22","WDR76"
"23","SLBP"
"24","CCNE2"
"25","UBR7"
"26","POLD3"
"27","MSH2"
"28","ATAD2"
"29","RAD51"
"30","RRM2"
"31","CDC45"
"32","CDC6"
"33","EXO1"
"34","TIPIN"
"35","DSCC1"
"36","BLM"
"37","CASP8AP2"
"38","USP1"
"39","CLSPN"
"40","POLA1"
"41","CHAF1B"
"42","BRIP1"
"43","E2F8"
