	RNA-CB	RNA-PM	RNA-PB	Motif-CB	Motif-PM	Motif-PB
Ikzf1	0.42957088	0.12688382	0.3113885	-0.20388985	-0.5997673	-0.33206025
Tcf4	0.16741902	-0.056521498	0.15747093	-0.20182164	-0.57479733	-0.2060275
Nr6a1	0.0072378595	-0.059910886	0.02466906	-0.31958085	-0.5726335	-0.33355397
Zeb1	0.31965548	0.15167908	0.22024699	-0.24613178	-0.57051736	-0.20965658
Mybl1	0.44946617	-0.21982051	0.30645162	0.08845166	-0.5684869	-0.34924737
Tcf3	0.05813056	0.028936084	0.052535005	-0.19258031	-0.5673782	-0.20329429
Nr2c2	0.18436593	0.034826808	0.087174736	-0.17091532	-0.55631924	-0.3466241
Mnt	0.0015832139	0.015372358	0.025047584	-0.4024617	-0.5534337	-0.25779077
Clock	0.062321823	0.031651963	0.072785445	-0.34175593	-0.5495051	-0.26339656
Pou2f2	0.20975147	0.09014715	0.21017238	0.18766193	-0.5431957	-0.27469894
Lin54	0.114983864	-0.02228898	-0.016398363	0.12502769	-0.5427684	-0.3087247
Pou2f1	0.22350647	0.099056594	0.106403686	0.22968872	-0.5416617	-0.28686976
Foxj3	0.07785059	0.055486713	0.08270685	-0.18431047	-0.52715474	-0.3353542
Mtf1	-0.00207949	-0.018734084	-0.004468966	-0.03798678	-0.51945096	-0.13716565
Rest	0.008981052	0.027193153	0.04843762	-0.2076006	-0.5127176	-0.13262963
Pou6f1	0.025803735	0.05371675	0.037811298	-0.11451346	-0.5014013	-0.08976145
Max	0.08284088	-0.0016906762	0.017164191	-0.36210182	-0.50070184	-0.19241132
Mef2d	0.12310763	0.05192175	0.058204453	0.24214152	-0.4864574	-0.15734325
Hinfp	0.058969345	-0.061593033	0.0014176005	-0.11372606	-0.47651285	-0.3315741
Zbtb18	0.008010134	0.09214455	0.00024206721	-0.15434957	-0.46875677	-0.08929928
Mecp2	0.15112506	0.08259197	0.084568515	-0.2095076	-0.4620021	-0.3120262
Mlxip	0.111591354	0.017904175	0.06377429	-0.31486654	-0.46164754	-0.20186561
Hif1a	0.071089976	0.008512334	0.06654729	-0.27652422	-0.4512199	-0.24373783
