Epoch	loss_train	loss_test	nll_x	nll_y	loss_vel	loss_con	kl_z0	kl_t
1	40821.696948190205	34336.291121705275	30118.685677915335	3942.9363549570685	-0.40692946086295495	0.008555383927310808	4.233864893928503	0.024545644936613
2	29993.68852022711	27132.568134734425	25539.39972294329	3416.732669915635	-0.5073800990566278	0.0057446124662939736	3.186486801019492	0.006304252816858097
3	24561.1877217885	22937.800918530353	22367.624507038738	2928.761164948582	-0.5472272166047996	0.004603654442253871	3.062313128584109	0.0053386899342123696
4	21306.00354861604	20654.942011531548	20728.188866563498	2534.430479982029	-0.5652765593589685	0.0036775995902836134	3.0031398195809067	0.005171989801878366
5	19156.231724627396	18967.76709764377	19368.818134734425	2344.30024616863	-0.5828701842326326	0.002887755530490614	3.049411150594108	0.0050624552117392845
6	17640.494987579845	17587.176498851837	18150.02736247005	2172.744371505591	-0.6032649796610823	0.006579994301374157	3.225164236732946	0.006090383130176284
7	16590.369233498936	16739.90381639377	17580.632200978434	2088.210725339457	-0.5954944287626126	0.0037939734288309807	2.980252603372446	0.007812446623017041
8	15708.672507097232	15709.836118460464	17105.39992886382	1946.2721302166533	-0.6168624299783676	0.00345799114968711	2.7859560460709156	0.006251981947571039
9	14926.543470546487	15261.101721620407	16834.222107128593	1826.4139248296476	-0.6061264070839928	0.004048545368777487	2.6137007791013382	0.007544255993974666
10	14309.315250177431	14464.431216303914	16272.454912764577	1772.1957064010085	-0.6233731632034618	0.0023782054377428164	2.6209448914939224	0.008785260368150454
11	13914.572657913413	14393.23283995607	16342.873177915335	1722.9256517696685	-0.616000411419061	0.0030241165735636847	2.448050436501305	0.00914613351213951
12	13613.124955642299	13923.670134035543	15738.926127570887	1669.6197919266674	-0.611923556739149	0.0019117897679916205	2.6054010261742833	0.00984051469237374
13	13276.579311568488	13353.202965879593	15621.770267571885	1633.5857389894918	-0.6180856294525318	0.001588318023842554	2.2363051339841116	0.026515681183519074
14	13010.094171398156	13446.829819164337	15592.940439047525	1608.7256112875648	-0.6247604323652225	0.0006910150317615047	2.470326797649883	0.015532133469994838
