Epoch	loss_train	loss_test	nll_x	nll_y	loss_vel	loss_con	kl_z0	kl_t
1	37792.05530586767	30324.065028089888	27729.87121664326	4186.116394728757	-0.49474880373879765	0.007091671005519253	3.2747415826561745	0.009906388262516996
2	25719.648876404495	23033.317068995788	21765.97514483848	3341.924652168188	-0.5494842280162854	0.005664243538644207	3.3591162344043175	0.004500713987338744
3	20892.12515605493	20084.539874473314	19669.840247542135	2723.6447265625	-0.5544517967138397	0.006442467566956295	3.1675012776021205	0.0036469620574014574
4	18423.608177278402	17990.16001580056	18364.906939080058	2367.232169504916	-0.59307805835531	0.007222777336124289	3.1127647533845364	0.0038082554878855353
5	16676.629744069913	16251.0494140625	17560.22024227528	2150.088866364554	-0.619842334677664	0.005947187765804904	2.67571187233657	0.00398003530133976
6	15217.412359550563	15148.987647033005	16749.67609945576	2042.3486651817066	-0.6422233550736074	0.0031505250617903605	2.7412848226140056	0.006406034244580215
7	14218.565418227216	14280.06543846559	16372.955758426966	2016.9056824416257	-0.6614855955156048	0.004877327547377248	2.4477481467000555	0.00853874059080073
8	13473.452434456929	13572.740673279495	15975.421080582864	1885.2575184339887	-0.6767532591069683	0.00230958122953647	2.445771007859305	0.010728086732076795
9	13012.64740948814	13041.785950667136	15569.992200667135	1787.3350429577774	-0.6810028890545449	0.004887972243674351	2.432835486765658	0.012772327561057015
10	12466.3975031211	12862.111925035113	15604.20833699087	1760.2628988544593	-0.6771968086114091	0.0035725301495240476	2.220944705705964	0.012939358073590177
11	12127.223751560548	12399.899220944522	15481.840984901686	1778.309005771594	-0.6923346495360471	0.001915043725349595	2.0313614266642026	0.01258362726297941
12	11803.709987515605	11824.797902036516	15082.805350245786	1700.2448346427318	-0.6967708402805114	0.0008356700209231022	1.965677212329393	0.0354226148195481
13	11441.302028714108	11619.008951457163	14948.07058900983	1668.2360667025105	-0.6935003871328376	0.0006540042157232594	1.891772162780333	0.03939406012048882
14	11206.15827091136	11427.157360428371	14771.56862491222	1702.9487850574965	-0.6981111554617292	0.001709239288452971	1.831557413969147	0.08510112144638983
15	10997.411953807741	11144.170185217698	14668.709190660113	1626.3661848775457	-0.7009111336108004	0.0012922100926843587	1.787222122878171	0.05806244822700372
16	10717.212858926343	10895.205514834972	14682.762399051966	1609.8018993591995	-0.7061402488290593	0.0010821771687629183	1.5898551906092784	0.06336593951904372
17	10450.870193508115	10590.272015449438	14421.770411253512	1590.394190276071	-0.7074228953779413	0.0011384092059425926	1.5334711511483352	0.10748119910111588
18	10180.87231585518	10368.369987710674	14323.313303195224	1556.5907018082864	-0.7167378942618209	0.003148873942496067	1.5268518600571022	0.0975048606817642
19	9893.219600499377	10329.798301439607	14235.070220330057	1493.615234375	-0.7036096386695176	0.004760155682399701	1.4471942071164592	0.14241362713026195
20	9737.761672908864	10020.915363851826	14109.832764220506	1494.2484973007374	-0.7076630820049329	0.0029401197302249375	1.3298353642560123	0.13422843048746666
21	9523.703495630461	9813.646616046348	13897.888362447331	1464.5992225904142	-0.6993206085783712	0.0030104797851461707	1.2666557579897764	0.14760455830713337
22	9336.433770287142	9650.893348402387	13712.966700316012	1464.4026839009832	-0.6936535417363885	0.0029324891349154242	1.1521128914329444	0.22862173837892125
23	9067.32938514357	9362.872027519312	13499.064492626405	1418.1459845725071	-0.6913807862260368	0.0038129510828869397	1.0281709512967743	0.293168870317802
24	8703.603417602997	8953.734085323034	13288.92941976826	1340.9317925956811	-0.6942104784290443	0.00452065086829361	0.8726497275106023	0.34812177794702936
25	8414.172893258426	8600.763215414327	13103.550344540028	1367.4081257680828	-0.7106462236200826	0.004603527105423841	0.8306184419085471	0.3596130655722672
26	8183.671800873908	8331.202703651685	12962.557044417135	1355.964889834972	-0.7197333252831791	0.004369092360138893	0.8233337541644493	0.34298966379647844
27	7925.902356429463	8228.346024622542	12906.065635972613	1323.8496746620435	-0.7239115731100018	0.006212478555906354	0.8338970996020885	0.3415245841728168
28	7755.107506242197	8027.670187412219	12837.121080582865	1380.9038585191363	-0.7324813959303866	0.004365497509938445	0.7478725586044654	0.3429320562421606
29	7577.21434144819	7923.979220066713	12809.467885358146	1373.2426768785112	-0.7348795280027925	0.003249116079735287	0.7232035567251484	0.33436908929535514
30	7510.241479400749	7851.018676483497	12717.487965238764	1376.3561197002282	-0.7381409887517436	0.003437149537245879	0.7709515594364552	0.3332617216565636
31	7423.977574906367	7728.594066011236	12729.915449438202	1338.953097568469	-0.7402583029832733	0.004036112498554788	0.6887492406234312	0.33319813394814396
32	7353.343913857678	7668.414349982444	12659.181318030196	1311.2239713175913	-0.7403923398992989	0.0050421497899662245	0.7135572629028492	0.33795391776588524
33	7285.550156054931	7730.53147164677	12724.206941274579	1362.8662241046347	-0.7438469454143825	0.0030125894055314613	0.7195179813363579	0.3322838976811827
34	7219.049859550561	7626.699346032304	12661.766533532304	1341.0962182891503	-0.7446256830451193	0.002743293969693144	0.7377933076258456	0.30486712462446663
35	7183.085799001248	7485.976777563203	12563.78288272472	1293.425943644663	-0.7476346728507053	0.0024768968405767104	0.7521322822302915	0.32821282329184287
36	7143.099032459426	7534.4168506408005	12603.066533532303	1353.1029033532304	-0.7436882564191069	0.003668879174752935	0.6864058094078236	0.29203573230947
37	7144.093539325842	7555.178152431531	12557.6265625	1332.6199482092698	-0.7433145327514477	0.0029125525218466025	0.766369457861011	0.3025820865390006
38	7051.877668539326	7400.794497234901	12522.022660639044	1282.605801768785	-0.7444147975257274	0.003960789052581184	0.7239135475640887	0.27679269206657836
39	7014.855118601748	7410.289472875702	12505.886481741572	1291.130607279231	-0.7511210844757852	0.0026757168682982747	0.7845960816640533	0.31313006067543886
40	6985.681054931336	7372.791320663624	12467.985208918539	1272.441729393434	-0.7468268602081899	0.005115592954784967	0.7547428577133779	0.2947343297888724
41	6937.8727215980025	7399.210444829705	12477.050811973315	1261.3184493504214	-0.7424001733908493	0.0030560878966150156	0.7566101887252893	0.2976717778805936
42	6887.172924469413	7202.48953322507	12378.666652036516	1223.3358604173982	-0.7580845905153939	0.0037260811838708565	0.8245570800277624	0.31951500693064055
43	6878.600171660424	7379.431221471208	12434.652719013342	1319.1175350574965	-0.745646010623889	0.004269540144046873	0.7561642530259122	0.2832611356558425
44	6801.728667290887	7237.838072770365	12402.995731653793	1273.088671052054	-0.7549073254124502	0.003110964999931833	0.7842364587140886	0.2954810166626834
45	6802.4944444444445	7188.105207601826	12405.87848051264	1253.8894070400281	-0.755173549759254	0.003098591435909941	0.7326306198420149	0.31645632654093625
46	6806.526264044944	7202.266079266152	12381.671548016151	1249.3101694171348	-0.7563164473919386	0.002683595323861901	0.7942084126258164	0.31340448541587657
47	6793.51743133583	7259.756304863062	12419.88822858146	1302.4694747410463	-0.7519277456101406	0.004573097142778086	0.7297928419006005	0.28115232573466353
48	6746.352403245943	7132.364473972963	12363.720549508427	1220.0438888035465	-0.7542867399333568	0.0022935850592853313	0.7941679311602303	0.2743639791279696
49	6717.790199750312	7058.8219583918535	12339.100544241574	1202.9994244864818	-0.76065423180548	0.002914131631070141	0.7868495450930649	0.30727339165934014
50	6732.672315855181	7189.014595768961	12347.040256320224	1220.3912690923455	-0.7505930433112584	0.003137453614859685	0.8155563400032815	0.2805824309252621
51	6682.9645443196005	7048.815718267205	12338.41108014396	1188.5985562785288	-0.7588689191957538	0.0021807948106460358	0.8052809326836232	0.2834062098787072
52	6673.826248439451	7141.610228669241	12373.523444083567	1229.3142742714185	-0.752639309743817	0.0028670071017290097	0.7555828979845797	0.28091243565752266
53	6683.264544319601	7111.93640822507	12353.196879389045	1202.4624621444873	-0.7543765408269475	0.002815211075358093	0.7729584235823557	0.2989317439915089
54	6624.756647940075	7119.016982312149	12372.274916608147	1192.7314919461026	-0.7509305917814876	0.00286024206977212	0.7495388660538063	0.28517531953500896
55	6630.743695380774	7030.211050517907	12324.16500395014	1162.1664523349718	-0.7581551736660218	0.0024621078129753136	0.8255059539602044	0.27530424018924154
56	6657.840714731586	7126.460518346208	12328.327409585674	1166.649737205934	-0.7517196371314231	0.0038131511110938	0.785908007219936	0.324640103069584
57	6616.5159956304615	7035.436893214536	12293.875794417136	1159.0469406985164	-0.7522810937313551	0.002776029205807809	0.8108265710680672	0.26673839152529
58	6606.708895131086	7021.520128160112	12325.514277563203	1140.0750902497366	-0.75639588645335	0.0023469511492784775	0.8129611683695503	0.28345916639553026
59	6624.751669787765	7010.896274798104	12274.76731258778	1155.2308699361395	-0.7566892112239023	0.00480571353724331	0.7949370909272955	0.30479589345749847
60	6543.100093632959	6962.872164676966	12301.171269311797	1107.3452750559604	-0.7564264339007688	0.0026455368019975304	0.7962597054042173	0.2959050197279855
61	6558.687094257179	6968.9586551966295	12292.419197682584	1158.405585059691	-0.7628761470987556	0.0027545804450853487	0.8037295405784349	0.31561998664663077
62	6568.240028089887	7044.955605907655	12275.815653528793	1129.0160228943557	-0.7556266461865285	0.005963814213578955	0.836186036768924	0.30056611071811634
63	6567.065262172285	6980.986453212781	12300.82255091292	1155.7586357202422	-0.7596834043438515	0.0020917962271238813	0.7788008734081568	0.3215206527308132
64	6540.8052278402	7032.403232531601	12263.282224367978	1115.976955868153	-0.7557134712680003	0.0080779718407796	0.8093110217137283	0.32018787432252693
65	6517.016042446941	6994.508023174158	12252.538803546347	1127.253720127063	-0.7564231872558593	0.0023276559589953906	0.8188547674189792	0.3368162170554815
66	6511.10593008739	6942.2887772120785	12229.916935129915	1132.537712457207	-0.7572062045000912	0.0025216804372586226	0.8258255078551474	0.3008536166019654
67	6523.469366416979	6890.026792924859	12221.669408356742	1103.854441027695	-0.7628577299332351	0.0019216614545145062	0.8641986208015613	0.3096650274951806
68	6509.650343320849	6905.166114378511	12240.223152212078	1092.161253922709	-0.7588339256436637	0.003123211929721109	0.8225111743037621	0.30737758848104585
69	6479.812749687891	7003.82322463132	12273.89690133427	1129.3270252699263	-0.7527219331666325	0.0018719699819771092	0.8021382828776756	0.3069606296801835
70	6459.852481273409	6919.379126799508	12255.602896769662	1103.4988204441713	-0.7619775137204803	0.0024680565702571962	0.8290550248006756	0.32631718060943515
71	6476.806491885143	6991.007159629565	12261.1442284059	1130.7200343442767	-0.7597726754927903	0.001875318716583627	0.8363196748026301	0.34179705950651273
72	6473.405571161049	6883.896115695225	12233.938584094101	1111.7236729996928	-0.7609941599074375	0.0016095614280509814	0.8274593840824085	0.30461999827556396
73	6437.490277777778	6891.07389944698	12258.132461376405	1096.657849806882	-0.7593098945831984	0.0017630993234244792	0.8081143839975421	0.3036373103602549
74	6395.868789013733	6851.04697265625	12218.686802141854	1092.0056204463658	-0.7643402749233031	0.002313309426032258	0.8420084009009801	0.3186156951979305
75	6411.870646067416	6893.441829792837	12234.92730863764	1126.6201930356829	-0.7618226564332341	0.003203786773021134	0.8101422230849106	0.3079406017667792
76	6380.214138576779	6873.141490739115	12226.18394048455	1066.407438882549	-0.7589759096670686	0.001866916900636691	0.8344119917140917	0.3172275716669104
77	6392.758083645444	6913.301585542486	12229.086635358146	1068.2878088790378	-0.760742041368163	0.0018213115726712715	0.8591080642818065	0.3460262503516808
78	6397.190761548065	6832.7099762991575	12242.976338658707	1105.3534574701546	-0.76405865851413	0.0019172032991570703	0.8080073623175031	0.29778709605838477
79	6395.4443352059925	6832.802857268259	12223.272528967696	1101.9289616616925	-0.7645339944389429	0.0028032040793783543	0.8159807799907213	0.30892859663856165
80	6350.141354556804	6807.916079266151	12192.002879213484	1075.4343296008165	-0.7639283349005024	0.002150570543671257	0.8250475185640742	0.33320903878533437
81	6371.923626716604	6900.204979371489	12202.884006320224	1095.010419044066	-0.7565272691544522	0.0034936409815099468	0.8317267683114898	0.30091987285721167
82	6360.187656054932	6787.092674683989	12224.18948823736	1068.5972000636411	-0.7674502111552807	0.0017514304383500908	0.822087629055709	0.32920598970370346
83	6359.576903870162	6779.963810129916	12189.616393082864	1084.4769981127106	-0.7641563983445757	0.0018113881590242466	0.8150703085942215	0.3142504285560565
84	6361.744225967541	6837.751392424509	12190.590001755618	1078.4708697715503	-0.7626160621643067	0.0037805837087249486	0.8379556000902412	0.319089467605848
85	6331.776576154806	6872.463656513342	12234.468947507023	1079.482951852177	-0.7625190528591027	0.001253922452124652	0.8512190929959329	0.31994396327586655
86	6303.528448813982	6872.179445005267	12185.366261411516	1086.5126654121314	-0.7619626673419824	0.004147248372194891	0.8516173881091429	0.32683704709738826
87	6325.089247815231	6773.800454266152	12189.249539150282	1060.7885301911429	-0.7660200989648197	0.0013267565814234065	0.8499749298845785	0.3207208515552992
88	6287.08231897628	6842.65369338132	12220.129090589888	1131.0911664984199	-0.762036468071884	0.0014583974388647782	0.785493108261837	0.31172139055273507
89	6308.070942571785	6823.677136367626	12215.789523349718	1092.2101569357883	-0.767255419157864	0.003264913084299377	0.844739068090246	0.31084333966287336
90	6318.113124219725	6787.116339317065	12195.206168802668	1073.6647973907127	-0.7617798049798172	0.0025593520644424336	0.8003294297818387	0.31012073152520686
91	6312.65238764045	6766.949948428722	12169.56095505618	1057.7685940517467	-0.7657132380464103	0.0032342537902714163	0.8425079539920507	0.32190231064732155
92	6294.045989388264	6874.883287614115	12195.61524315309	1087.7079038469979	-0.7612777274646116	0.003000391342185354	0.8719349487443988	0.3023987005935626
93	6279.378370786517	6707.3034037043535	12176.666261411518	1060.468901696366	-0.7704657170209992	0.0029150918173195604	0.844982288794571	0.30069199271416397
94	6303.226014357054	6818.1350684691015	12198.676448384831	1065.9401234144575	-0.7636067524384916	0.004914063474770343	0.8500300061836671	0.29041526699334047
95	6297.966073657927	6688.3850640800565	12155.90451852177	1063.269538382198	-0.7684866234157862	0.0018861051586069417	0.8415448060196438	0.29367163891202946
96	6252.289497503121	6742.104266151686	12200.974161692417	1066.1617922665027	-0.7699406212635255	0.0019388867772362206	0.8529057812154963	0.3020802068576384
97	6236.818352059925	6724.931894092346	12154.658734199438	1022.1856035211113	-0.7649297562877784	0.001583910012994422	0.8598696482315492	0.3216761703571577
98	6250.168445692884	6641.103628642907	12158.839255617977	1062.6717204233234	-0.7758618306577876	0.0016675600397473807	0.8633342602279749	0.29820074613174696
99	6231.243414481898	6786.020240080758	12171.038480951545	1075.6991331636236	-0.7648508914401022	0.0019698716564041175	0.8625051372506646	0.3055874186285426
100	6228.378807740324	6772.648200491573	12187.474754213483	1113.8270823275104	-0.7665269595853398	0.0017679466136071957	0.8222571742668581	0.29667933522985224
101	6214.631960049937	6711.450589229284	12138.985621488764	1069.1404092510095	-0.771613670600934	0.003147845912013161	0.897491241305062	0.29049120485112906
102	6222.52997815231	6675.829858672752	12162.655966906601	1045.42646484375	-0.7721640577477016	0.0019390963114735284	0.8771575730838133	0.2928400578793515
103	6217.953355181024	6713.498117099719	12176.240284849016	1085.0852794175737	-0.7717867358347004	0.0021281134614490726	0.8519159986731711	0.2968425628844272
104	6221.759815855181	6777.341733233849	12151.738009129214	1066.2022352582953	-0.7651795539963111	0.003136280636836806	0.8862570701020487	0.293576961420895
105	6176.347862047441	6670.572826325491	12165.588217608849	1030.9426760555652	-0.7706490463085389	0.001828364378594783	0.8690017015746471	0.2932468476590146
106	6147.315948813983	6662.91812895014	12107.376373771067	1033.485130464361	-0.7690387365523349	0.0024251574548379926	0.8917313290445992	0.29646130431903883
107	6142.572737203495	6640.351152124298	12136.076869733146	1029.002468837781	-0.7706849696930874	0.0012631757001737864	0.8765974105074165	0.29289280269922835
108	6141.31484082397	6623.281033839537	12116.352670733848	1039.4618627655373	-0.776088291607546	0.002330871469738862	0.9187927839461337	0.28624777278203645
109	6145.562671660425	6719.35615234375	12140.601059954353	1078.3352053524402	-0.7686770590503564	0.0017229528375639674	0.8799586446097728	0.29000242051113856
110	6135.9723158551815	6522.857760928722	12108.058378686797	994.439715919066	-0.7795704392904645	0.0014668321843897358	0.9149421063701758	0.2864531543147698
111	6124.551186017478	6631.528232531601	12103.44763869382	1076.0975624341643	-0.775555760806866	0.0016804058565182633	0.8902954855661713	0.3004408652862806
112	6122.751326466916	6608.025515712781	12109.498498946628	1040.3640727868242	-0.7718313014909123	0.001509996313141303	0.8858101929171701	0.27556581939204355
113	6119.507740324594	6580.126259655899	12117.120025017557	1013.7058821431707	-0.7750276854868685	0.0010648648908592006	0.8925544138704793	0.2963739628872175
114	6122.729790886392	6738.4799870523175	12103.890087341995	1085.0570992801966	-0.7658877554904209	0.0014609622600320936	0.8969405368472753	0.2968598796410507
115	6149.451435705369	6634.110974806882	12090.545940133426	1036.8995646616047	-0.7712876334618987	0.002026140389001269	0.9020511379402675	0.2972295647926545
116	6087.352294007491	6552.817788799157	12104.67219540028	1036.6121101979459	-0.7752280503176572	0.001351940366073271	0.8626209285821808	0.287673535708631
117	6109.002793383271	6619.9502457865165	12079.319456636236	1024.342851617363	-0.7707182889574029	0.0026648136337151687	0.9043835508689452	0.29243910419807007
118	6095.593648564294	6599.476395716292	12076.715067591293	1054.5766751064343	-0.7750425654850649	0.001968095154930534	0.9073580452565396	0.2915714058983192
119	6075.95313670412	6618.420639483848	12090.432336288624	1049.5718206855688	-0.7727163854609714	0.0010583493680682745	0.9039278146925936	0.29106907884726363
120	6045.435642946317	6586.310878247893	12083.30767863413	1040.8909635050913	-0.7739627913142858	0.0013419106825035107	0.8943478552143226	0.29397307761599506
