Epoch	loss_train	loss_test	nll_x	nll_y	loss_vel	loss_con	kl_z0	kl_t
1	40476.13177135261	34437.86250935629	31685.950785928144	3497.147854193956	-0.5184017541165837	0.008902085878088802	4.332362217817478	0.01739825659660165
2	28997.56729810568	26488.436774887723	26300.25240924401	2884.393361714072	-0.6441615184624038	0.007887054664155324	3.6596950214066193	0.006840277744825193
3	23292.72474243935	22510.144940587576	22997.831773952097	2350.462203522642	-0.6584571632082591	0.005915432072573615	3.6817952315964386	0.005474236079988009
4	20008.70131272848	19577.985544535928	21207.084089633234	1979.3983819470434	-0.7004302743666186	0.004622545581266373	3.3450800044807845	0.004500852752766923
5	17902.239780658027	17851.20510151572	20263.394624812874	1687.2363690587574	-0.7283719560343348	0.003215128553105507	3.1483060813949493	0.0038353946745886417
6	16523.936399135924	16147.265110404192	19005.662109375	1520.2810014736153	-0.7568409949719549	0.0026874241564132854	3.1596068293748503	0.0032505763465995917
7	15191.552135260885	15309.084732877995	18487.408004303892	1450.398239409852	-0.7600398566908465	0.0027444111043866165	2.941322093952202	0.0029109827630377995
8	14269.719258889996	14412.282366906811	17822.952879397457	1333.618766373503	-0.7690721850195331	0.004171564819536612	2.9021816596299588	0.0025358341835037676
9	13586.54573778664	14166.109059225299	17801.81949382485	1288.3318616672905	-0.7634610340980712	0.00501745848353216	2.6577274656581307	0.0026666372261584517
10	12973.794533067465	13403.59669723054	17071.602755426647	1306.251902688763	-0.7860294459108821	0.00307351734885154	2.851992575708264	0.0033079468656308994
11	12592.989572947823	13095.75211686003	17213.295144086827	1226.4260180810254	-0.790024784867635	0.0128621767208114	2.4220121806253214	0.005644378193771233
12	12066.356596876038	12777.98697721744	16878.176459580838	1238.348927389362	-0.7887314654395966	0.01297418351987834	2.4131279491378876	0.005906031567402586
13	11857.960992023929	12167.427623269086	16444.204984562126	1145.8633718890344	-0.7959968390578995	0.0022845612336953956	2.508461428259661	0.006020697232469649
14	11569.985875706214	12175.226123924027	16539.788021613025	1153.9081307599645	-0.7930949430265827	0.001327387736217972	2.388843763374283	0.010361527806582923
15	11340.79046194749	11863.890753648951	16404.67920799027	1219.0904650659618	-0.7996437360426623	0.0009654379668673444	2.212620842242669	0.014282891643930694
16	11164.350531738119	11787.681377479415	16384.5960188997	1150.6609953920286	-0.7835531388214249	0.0013383753145668478	2.0470656192231322	0.027505898859329567
17	10962.535186108342	11453.747988398203	16067.767695078594	1149.552981439465	-0.7936325133917574	0.0011205960624198802	2.151170576403955	0.010376243255363253
18	10881.2240777667	11263.106076908683	15929.97347492515	1143.1227881151758	-0.7882824101133975	0.0008403076061806056	2.028803562689684	0.035626885263684266
19	10697.639913592555	11022.804804453594	15791.725673652694	1106.6392054757673	-0.7820040348047268	0.0006037967423852645	1.8907849474581415	0.04765737177190667
20	10922.389830508475	12027.849352077095	16148.121982597306	1134.5713475392963	-0.7340690072425111	0.014117925856569168	1.90534823312017	0.03931774321698143
21	11360.02517447657	11483.385549214072	15753.09293132485	1139.1603645735872	-0.7377335993115773	0.010703583866982403	1.8092238546131614	0.05220858099128672
22	10775.056538717181	11141.360731661676	15595.093609655689	1142.9326888215755	-0.7482840276049997	0.0008366185220928785	1.811052989103123	0.06675537862998997
23	10414.009471585245	10883.127023297156	15582.479392776946	1171.2861942131362	-0.7526964505989394	0.0008821929296099407	1.5875737981168097	0.059931058994310345
24	10287.564847125292	10728.938844966317	15404.737345621257	1104.5905834814746	-0.7544126000233039	0.0007268807812089178	1.675501330883917	0.08096637666046977
25	10117.671776337655	10531.222919395585	15353.48567318488	1118.3261850322792	-0.7452049030515249	0.0005386659933371235	1.4311500537895157	0.07492354476523257
26	10142.97249916916	10324.46467416729	15233.535355071108	1124.6977882613678	-0.7516788397720474	0.0011179032693700698	1.3864940454859933	0.08534613943207049
27	10013.121676636756	10523.502736714072	15232.282115456586	1091.4929476983532	-0.729422584265292	0.0006871019342975568	1.4052548915326237	0.08182788421650847
28	9877.083624127617	10243.183008982036	15012.499619900824	1132.113507847586	-0.7348313071056755	0.0007186742556284176	1.3273355175635058	0.11236132864288227
29	9916.004112662014	10411.101047904192	15016.428517964072	1080.4295522724083	-0.7097248402898183	0.0009816518505828867	1.2982212861854874	0.1034537677368718
30	9896.322657028913	10289.149723989522	14978.098913501122	1041.6041153776432	-0.7143133418288773	0.0011890901023979316	1.2778550614853819	0.12283396819037591
31	9815.165752741776	10393.480837153817	15032.430365830838	1078.4459601305202	-0.7056959060851685	0.0009947989253093026	1.2235018236194541	0.10611323789208235
32	9968.467347956132	10235.915395770959	14892.422600112275	1051.4220559125888	-0.7088471351269476	0.0013408370617174817	1.2283582573165437	0.1387756444558412
33	9901.905658025922	10376.18654098054	14813.407741158308	1039.0387445324195	-0.6771160224954526	0.0013529081134582887	1.125863631328423	0.15550752706870347
34	9934.998379860419	10694.72654495696	14830.329154191617	1044.3516169565166	-0.6445702849747892	0.0017315251543604865	1.092753124094295	0.15568017629449238
35	10039.69516450648	10647.908758654567	14723.65040232036	1057.8299947955652	-0.6437580542650051	0.0019314641852355647	1.1102329114240086	0.17446207803880384
36	10028.360709538052	10409.42284571482	14571.636859094311	1031.3240542840101	-0.6381063832494314	0.002405690177048216	0.9977558558572552	0.16571292174076604
