Epoch	loss_train	loss_test	nll_x	nll_y	loss_vel	loss_con	kl_z0	kl_t
1	31762.43968588083	28251.215629555394	27634.116880010934	3055.6892844330814	-0.5231395582763516	0.005451204450719558	2.732693864027196	0.005599585881744547
2	26256.569057642486	23741.245791955174	23472.916511024054	2493.6306942419824	-0.5548455647407399	0.0036688796495720094	3.2826048507634824	0.003861061968017945
3	22341.212111398963	20674.394696383017	21106.325676475946	2099.2796830157845	-0.5834484564319644	0.0031608309747472012	3.267986529075022	0.003678885490142091
4	19899.138196243523	18473.002106869535	19481.605115706996	1751.840952703626	-0.6138860442548034	0.0026300434143969424	3.346901957564729	0.00521509678838856
5	18014.794486722796	16990.43445927478	18588.547717747813	1635.869769482849	-0.6338162514280647	0.0043274831982552135	3.0563087824829815	0.004595467858776754
6	16829.836504209845	16174.835903334548	17942.925661670917	1479.380568968659	-0.6538228938252864	0.003372307424908694	3.2460085337780655	0.011026230817199102
7	15770.803958873057	15090.604395385386	17293.728065779884	1424.4509971329492	-0.6632711094948015	0.0022477253676872733	2.974858163049548	0.007800667021293247
8	15034.115487370465	14585.31792661261	17033.443194241983	1341.1392491287809	-0.6718773648968244	0.002420437753705563	2.8937739769849418	0.011530557253639656
9	14471.383905440414	14054.548008154154	16006.554454036079	1187.1092329998405	-0.6869395015538607	0.0026284128145121974	3.6656450259094684	0.03835010719716375
10	14080.374676165804	13948.788826188958	16600.132134885203	1188.5012039762892	-0.6748656392445022	0.010688193986170625	2.786184472870896	0.015745245599060296
11	13489.342454663212	13387.627260614066	16364.766091927842	1152.1081877505467	-0.6812961629806386	0.0029113029391822504	2.615328121463342	0.039274227330271076
12	13288.936164183939	12743.749117392492	15738.410321383017	1144.821237102542	-0.6877034624533472	0.0022519467606917894	2.667458770574008	0.04757297203031643
13	12763.082456282384	12380.928403448434	15819.552557853498	1045.078937853043	-0.6850404478718171	0.0027162459252657416	2.2734013611651718	0.06613734584985947
14	12451.626538212435	12135.470950824527	15531.283593180577	1100.0332970799927	-0.6822455796486435	0.0015970235544531103	2.2394658101195843	0.07117323164689646
15	12277.512791450778	12025.704944310313	15585.700289267492	1084.6005845139396	-0.6853465344050883	0.0023725933815167983	2.0739335151872553	0.11121011395061677
16	12208.238787240933	11786.50675052387	15244.035694355867	1088.9688827470163	-0.6728140579715762	0.0007106932075273344	2.0703590152562534	0.10417683033745073
17	11848.103910297927	11676.220429801384	15351.989909803207	1053.3872433320425	-0.6729855118618067	0.0011690795454183055	1.845174631989037	0.14383320167182834
18	11618.347231217616	11317.384324321247	14940.298765488338	1022.160250916773	-0.6740649856909371	0.005391124638650056	1.8840469785751477	0.15761736791265948
19	11476.432278173575	10982.087984579992	14759.122856117894	1016.976525131537	-0.6779235723067303	0.0016659176765884064	1.791456179090561	0.17710839281450555
20	11219.62568814767	10905.285216039541	14702.054604933492	992.5392315478089	-0.664672205990327	0.00293550624596308	1.599007379209335	0.2290505514461167
21	10919.31926003886	10529.155281978863	14407.408738383747	1016.5163716574799	-0.6573000020257933	0.002791973422810913	1.3577464961449537	0.29256378761533397
22	10611.455351360104	10297.921000933855	14116.23428958637	1010.6006937722076	-0.6435871786348326	0.004805703198064781	1.1657718037724842	0.3931287646119866
23	10067.596502590673	9545.20169005102	13737.717098669826	958.5737569825642	-0.6551334698068157	0.006225257423643903	0.8922304863832435	0.44576274801273735
24	9698.943774287565	9394.022099353135	13583.592525737973	980.0189967030338	-0.6568693508212142	0.0077167215618595434	0.8279332852224567	0.4940033766166809
25	9404.4713001943	8974.742551931487	13432.978048697158	935.4651681438479	-0.6735584690688998	0.005704313702609814	0.8178378600768376	0.46700308022276654
26	9101.154104598445	8973.405783072158	13408.942482461734	984.9418361652697	-0.6706892879294237	0.0062720472245604755	0.7583178474673724	0.46537625911284464
27	8876.402950939118	8581.866788903062	13349.603176817602	984.8495844626914	-0.6946066287794197	0.004230400061359732	0.6814745362228972	0.4697018391710676
28	8735.108828529792	8623.211095515215	13328.899006924199	970.2533270388234	-0.6870854099012325	0.004740988608971021	0.7014876100134224	0.44601520218237495
29	8564.54207820596	8447.965162627552	13248.367751229956	943.9985412063821	-0.6947076800265743	0.0037280785424890044	0.7382195656223131	0.42717529046987307
30	8474.401716321243	8303.138418481232	13245.82143141855	992.463574289928	-0.7058694228834036	0.004946632128149141	0.6318912728534843	0.44219011068344116
31	8360.257549384714	8308.21877704765	13228.415617028062	1041.4355230303618	-0.7044555464916952	0.0035262649400979716	0.645831591186301	0.4018292186385341
32	8320.675457415804	8265.003823683492	13220.432147412537	965.1248962580289	-0.7123430817884885	0.0045668104780245975	0.760387785754468	0.3968216057421515
33	8256.209176651555	8145.000931008564	13190.3620740707	1000.8237874111699	-0.7109526023920354	0.003063207429782121	0.6232017601891787	0.4095067374038974
34	8194.693409974094	8058.033037991982	13132.052711598031	991.5644577515716	-0.7200956443655943	0.0033032240457398377	0.7120366904547889	0.3903040065709773
35	8122.150117389896	7895.009983429756	13098.976761798469	959.335001153084	-0.7250833202033974	0.00298768394890054	0.6520605118559679	0.40559402594760974
36	8117.333873056995	8051.141474865616	13177.242133404701	985.509188371219	-0.7174755612893285	0.004051837962902757	0.6310737963668112	0.3915533186221609
37	8029.597575291451	7895.2436324139035	13111.386439732143	969.2552182389418	-0.7209081778373385	0.0020753307927823448	0.6187252113839975	0.3842048418243842
38	8070.888459358808	7831.978881480048	13086.532189549927	926.2072138216336	-0.7318073670996174	0.002961770793607692	0.6926209241933795	0.4150745513314061
39	7979.997793879534	7995.9825300655975	13119.480804710276	979.6676367045144	-0.7061455659894137	0.003248760382354303	0.5377644606303891	0.3880377456154837
40	7959.911977817357	7793.87979739887	13116.18488349581	942.4336019354729	-0.7278149409474853	0.0021848571575015957	0.5874918454242517	0.40407050437899444
41	7931.691021696891	7776.2744738520405	13059.418390123907	923.8931429226267	-0.7305860396029302	0.002225052752686833	0.6601196419740905	0.4164528810248083
42	7893.82421875	7793.804059709822	13069.691819082544	942.7920776011298	-0.7268792237901827	0.001955941116163078	0.625529937945719	0.4050230244853406
43	7934.754311042746	7801.2909003166	13084.198319059768	993.4059750748793	-0.7341847581349031	0.002012851447105929	0.615651131197593	0.4297545150834687
44	7939.281614313471	7865.43747152879	13075.967092975583	988.500893106266	-0.7218013906270353	0.00391910297445866	0.5668655420183788	0.4129267517401248
45	7898.447862694301	7632.814233896684	13051.717690870992	977.549580654667	-0.7439283368886386	0.001833776674917614	0.5828239547615496	0.44166856300379026
46	7877.351947053109	7718.334226380284	13078.239522594753	948.3290118781888	-0.7382864823494291	0.0020722121165918715	0.6193139196832396	0.4345948671808048
47	7844.127813309586	7842.678382095026	13071.05207384293	989.6579422575392	-0.7242354159800026	0.0025739515765024344	0.5760811737605503	0.42250180939543697
48	7859.405865446891	7690.489435757562	13048.128200163994	973.7499241954037	-0.7350996378211864	0.0014347895625544272	0.5566309488897073	0.4486286713152516
49	7794.836200615285	7649.673755523415	13044.687733463921	958.2995427523688	-0.7342675474225259	0.0013311057471678356	0.5529349368098179	0.4231156557363949
50	7857.26022101684	7787.203732860332	13057.8803981414	1003.8660934937591	-0.7348221677732885	0.0018040777252628618	0.589189996177184	0.46644834379065486
51	7769.0612653821245	7699.864727587464	13051.152446246355	975.6387626269816	-0.7362318706234412	0.00249851566200408	0.5525685785115634	0.4578384859568871
52	7767.3018539507775	7779.774478122722	13058.297640875546	1018.2602695654155	-0.7317053731259382	0.0013730901007679	0.5618280168872533	0.4447114133104986
53	7755.995365123057	7625.635784894315	13007.468456746537	984.3422225195882	-0.7382877814874009	0.0016935272087986546	0.5438639856983551	0.45590368078331905
54	7742.792402040155	7590.024630443695	13003.202763415635	997.5236636681738	-0.7448460482299849	0.0012572211112946532	0.5489799522797498	0.4762068224891629
55	7690.816203853627	7716.686476460004	13024.38631730594	979.3241767549654	-0.7295454816985061	0.0018706420116104815	0.5218000631812015	0.46792424246451597
56	7720.224659974093	7717.683859955812	13028.513777218477	1028.215208715322	-0.7335645554712146	0.00196595538309816	0.5043856914293662	0.47255566438154994
57	7703.2132043393785	7613.894750478316	13016.737871264577	1004.6958128815143	-0.7392102931748327	0.0011360469688634245	0.5037751576643296	0.469428233867484
58	7687.593405926165	7621.491909905703	13028.957697476311	983.3149764614272	-0.7392924829405181	0.0012248524155131061	0.5067316975781243	0.4831636484614614
59	7667.404205796632	7515.718006901421	12961.190535030977	959.7478137669689	-0.74278237034211	0.001621838511747061	0.5095683748972312	0.49681630556854495
60	7674.876679889896	7577.814315039632	12966.887641217201	962.0661005403836	-0.734981457276525	0.0015100358609305613	0.4930868233084331	0.4904878053477485
61	7624.962394753886	7583.604446633564	12999.389953079446	946.3037886994921	-0.7381645206459757	0.0014559908772740003	0.516062885349068	0.4889328863808434
62	7677.496660459845	7600.054261855412	12987.781580266035	955.8213324810952	-0.7358408881345921	0.0012812977768725147	0.505243149252049	0.49680395168048647
